xvalue,counts
1,497
2,56
3,94
4,31
5,43
6,3
7,56
8,9
9,40
10,11
12,8
13,17
14,1
15,11
16,5
17,20
18,4
20,1
24,2
26,5
29,18
30,6
31,2
33,2
34,2
35,2
37,2
39,2
41,2
43,4
49,2
53,2
57,4
60,1
61,2
63,2
69,2
72,14
78,2
79,1
80,2
83,2
99,2
120,2
125,2
129,4
130,2
151,2
157,8
161,1
163,6
166,2
170,2
171,16
174,2
177,2
182,8
187,2
188,2
189,2
190,4
192,4
197,2
199,4
200,5
201,2
206,8
208,2
213,2
216,4
217,2
219,2
220,2
221,6
222,2
225,1
229,4
231,9
234,6
245,2
248,2
255,2
257,2
259,4
260,12
266,134
269,4
270,4
271,7
272,2
273,4
274,4
275,4
276,2
277,2
280,2
281,2
283,4
284,4
285,6
287,6
290,2
291,2
293,2
294,2
295,2
297,4
301,4
310,4
311,2
313,8
314,2
316,2
324,2
328,2
330,4
331,2
335,2
336,2
343,2
