xvalue,counts
1,204
2,11
3,29
4,8
5,11
6,10
7,14
8,13
9,18
10,4
11,6
12,1
13,8
14,5
15,4
16,3
19,2
21,2
22,2
27,1
33,2
39,2
51,1
55,3
58,2
61,4
62,3
64,2
68,2
73,2
82,3
86,2
91,5
92,6
93,4
98,1
101,2
105,2
106,4
107,6
108,2
109,2
114,4
120,2
122,2
124,2
125,2
127,3
128,2
130,4
133,2
135,2
139,6
140,2
141,1
142,4
143,2
147,2
150,1
151,1
152,2
153,1
157,4
159,2
168,2
170,3
179,2
180,2
181,12
185,3
186,2
188,2
191,1
192,1
193,2
194,4
196,2
197,2
202,4
203,4
204,2
205,2
207,2
208,16
209,7
210,2
212,6
213,8
216,2
219,3
220,5
222,2
224,2
229,12
231,2
232,2
233,1
234,2
236,2
238,2
240,4
241,2
243,12
244,2
245,9
246,6
247,8
248,2
250,6
252,8
253,2
254,10
255,2
256,6
258,12
259,3
260,4
261,2
262,2
265,2
270,61
272,2
274,2
283,12
284,2
285,2
289,2
339,2
