xvalue,counts
1,3295
2,349
3,432
4,106
5,243
6,51
7,125
8,61
9,75
10,19
11,28
12,22
13,21
14,5
15,14
16,26
17,8
18,58
19,8
20,13
21,44
22,3
23,38
24,6
25,4
26,14
27,6
28,17
29,2
30,23
32,6
33,2
34,2
36,4
37,23
38,14
42,20
43,1
44,2
47,2
48,4
49,8
52,3
55,12
56,17
57,4
58,2
62,6
63,2
64,7
65,10
67,10
68,7
70,5
71,1
72,4
73,1
77,8
80,1
81,4
83,2
94,2
95,2
100,3
107,4
108,3
109,2
117,1
118,1
119,1
133,11
141,2
155,1
169,1
186,1
200,1
204,1
220,1
234,2
244,2
257,3
265,2
266,1
300,1
338,1
387,2
421,2
528,1
