xvalue,counts
1,3474
2,299
3,513
4,123
5,231
6,95
7,119
8,50
9,62
10,41
11,94
12,13
13,48
14,14
15,8
16,2
17,26
18,4
19,12
20,12
21,10
22,17
23,5
24,16
25,10
26,9
27,14
28,1
29,2
30,1
31,2
32,4
33,74
34,2
35,32
36,1
37,4
38,5
39,8
43,1
46,1
48,5
51,8
52,2
58,28
60,8
64,2
65,2
68,1
71,8
76,2
80,1
82,4
91,2
99,10
113,2
115,2
117,2
128,2
133,2
139,2
145,2
150,2
157,3
159,2
179,4
181,86
186,2
190,4
199,2
217,2
239,1
244,2
260,2
279,1
287,1
289,1
293,1
308,20
313,2
334,1
344,2
346,2
358,2
418,2
443,3
461,1
