xvalue,counts
1,3633
2,295
3,517
4,122
5,223
6,88
7,130
8,60
9,88
10,24
11,87
12,23
13,37
14,8
15,26
16,1
17,22
18,8
19,16
20,7
21,11
22,9
23,21
24,6
25,18
26,4
27,15
28,1
29,2
30,3
31,2
32,7
33,38
34,2
35,28
37,4
39,10
41,2
43,1
47,4
49,2
52,1
53,1
54,13
55,1
56,2
60,30
61,4
65,1
67,2
77,1
78,6
82,1
103,2
109,2
117,6
120,2
124,2
129,2
133,2
141,2
147,2
153,2
156,2
158,2
163,2
167,2
169,86
171,2
181,10
183,2
185,2
210,1
211,4
236,2
245,1
254,2
264,3
281,2
290,1
312,1
320,1
324,1
332,2
335,1
342,15
355,5
414,2
443,3
