xvalue,counts
1,3811
2,291
3,503
4,145
5,200
6,91
7,109
8,64
9,57
10,21
11,56
12,32
13,44
14,21
15,18
16,7
17,15
18,18
19,15
20,11
21,4
22,21
23,13
24,21
25,16
26,7
28,4
29,2
30,1
31,4
32,2
33,36
34,30
35,6
36,2
39,9
41,6
43,1
51,8
60,38
63,1
65,1
67,11
71,2
72,7
78,1
81,1
82,3
84,1
86,4
95,2
97,2
98,2
99,1
107,2
110,2
112,2
122,2
125,2
129,2
131,2
132,2
133,2
134,2
135,2
137,2
145,2
151,2
167,2
168,2
176,2
177,2
181,94
188,4
212,2
213,4
248,2
249,1
260,1
266,2
269,2
281,1
300,1
303,1
314,1
339,1
344,1
348,14
355,5
453,3
