xvalue,counts
1,3872
2,302
3,501
4,147
5,211
6,75
7,121
8,74
9,63
10,30
11,100
12,27
13,50
14,27
15,29
16,7
17,2
18,11
19,11
20,9
21,8
22,8
23,40
24,19
25,16
26,7
27,1
28,2
29,36
30,4
32,4
33,38
35,14
36,15
37,45
38,5
39,8
40,4
43,28
44,3
46,9
50,3
51,8
52,2
55,2
56,1
57,1
59,2
62,25
63,4
66,3
68,12
72,2
81,1
83,1
129,2
152,2
171,2
177,4
179,86
181,6
190,6
206,2
213,4
215,2
218,2
222,1
237,2
246,2
256,2
257,2
258,2
313,1
321,5
323,2
342,1
344,2
346,14
359,1
363,1
401,1
420,1
427,2
440,2
443,1
449,3
532,2
543,1
